user_key,user_id,gender,age_group,country,city,registration_date,email_domain,is_premium
1483,USR001483,F, 25-34,Brazil,,12-05-2023,,
1484,USR001484,M,35-44,Mexico,City_20,19-03-2020,gmail.com,yes
1485,USR001485,M,35-44,Mexico,City_36,21-07-2021,hotmail.com,yes
1486,USR001486,F,18-24 ,France,City_47,14-12-2020,yahoo.com,1
1487,USR001487,,35-44,India,City_13,27-06-2022,outlook.com,1
1488,USR001488,O,35-44,Mexico,N/A,05-04-2021,gmail.com,1
1489,USR001489,MALE,45-54,Brazil,  ,23-12-2021,gmail.com,0
1490,USR001490,,,Mexico,,26-02-2023,gmail.com,0
1491,USR001491,,35-44,Canada,,13-03-2021,yahoo.com,0
1492,USR001492,other,18_24,Australia,  ,06-01-2022,yahoo.com,0
1493,USR001493,female,25-34,Mexico,N/A,07-11-2022,,NO
1494,USR001494,male,,France,,01-06-2021,gmail.com,0
1495,USR001495,F,25 to 34,Canada,City_49,29-12-2019,outlook.com,0
1496,USR001496,O,45-54,Germany,City_38,04-07-2021,,0
1497,USR001497,Male,35-44,USA,City_12,03-06-2020,yahoo.com,NO
1498,USR001498,F,45-54,Germany,  ,25-10-2021,gmail.com,yes
1499,USR001499,Male,18-24,Canada,N/A,19-01-2020,yahoo.com,Yes
1500,USR001500,FEMALE,35-44,Mexico,  ,26-11-2022,gmail.com,NO
1501,USR001501,male,45-54,Canada,City_6,24-04-2020,hotmail.com,
1502,USR001502,female,55+,USA,N/A,26-01-2019,gmail.com,1
1503,USR001503,Other, 25-34,Australia,,23-11-2023,outlook.com,1
1504,USR001504,F,,Australia,City_16,16-05-2023,,yes
1505,USR001505,Other,25 to 34,Mexico,  ,15-03-2019,gmail.com,0
1506,USR001506,F,25-34,France,,13-03-2022,outlook.com,Yes
1507,USR001507,O,35-44,Brazil,City_4,31-12-2022,outlook.com,1
1508,USR001508,other,25-34,USA,,20-06-2021,gmail.com,
1509,USR001509,F,55+,Australia,,13-05-2019,,yes
1510,USR001510,Female,25-34,Australia,  ,26-10-2020,gmail.com,NO
1511,USR001511,male, 25-34,USA,City_19,11-06-2020,,Yes
1512,USR001512,F,25-34,UK,N/A,26-09-2021,gmail.com,yes
1513,USR001513,Male,55+,Germany,City_35,26-07-2023,gmail.com,0
1514,USR001514,female,25-34,Canada,City_43,12-11-2020,gmail.com,yes
1515,USR001515,M,18-24 ,Brazil,N/A,24-04-2022,yahoo.com,1
1516,USR001516,Other,18-24,India,  ,27-12-2020,,1
1517,USR001517,FEMALE,25 to 34,Canada,  ,02-02-2019,gmail.com,0
1518,USR001518,O,45-54,Canada,N/A,25-08-2019,outlook.com,0
1519,USR001519,female,,Mexico,N/A,22-07-2023,gmail.com,1
1520,USR001520,male,,Brazil,  ,03-02-2020,hotmail.com,yes
1521,USR001521,F,25-34,Germany,  ,11-10-2023,yahoo.com,0
1522,USR001522,male,18-24,Germany,,08-04-2023,,1
1523,USR001523,MALE,18-24,UK,City_39,01-07-2023,hotmail.com,1
1524,USR001524,F,55+,Japan,N/A,18-03-2020,,1
1525,USR001525,Other,18-24,Australia,  ,26-02-2021,yahoo.com,
1526,USR001526,F,25 to 34,UK,,15-07-2021,,
1527,USR001527,,18-24,Germany,N/A,23-10-2023,outlook.com,
1528,USR001528,male,25-34,France,City_20,07-11-2019,yahoo.com,Yes
1529,USR001529,F,45-54,Mexico,City_40,28-01-2023,,yes
1530,USR001530,Female,18_24,Mexico,N/A,09-09-2022,gmail.com,yes
1531,USR001531,O,18-24,Brazil,N/A,29-06-2019,gmail.com,yes
1532,USR001532,female, 25-34,Mexico,N/A,15-05-2019,gmail.com,yes
1533,USR001533,MALE,25 to 34,Mexico,City_45,07-09-2023,gmail.com,0
1534,USR001534,female,18_24,USA,City_2,01-11-2020,gmail.com,yes
1535,USR001535,M,55+,Mexico,,21-02-2021,hotmail.com,1
1536,USR001536,male,,Canada,  ,02-07-2021,gmail.com,yes
1537,USR001537,,,India,City_9,16-04-2023,gmail.com,1
1538,USR001538,other,18-24 ,USA,,07-02-2023,hotmail.com,NO
1539,USR001539,male,25 to 34,Brazil,,04-12-2021,yahoo.com,0
1540,USR001540,, 25-34,UK,City_10,16-05-2019,yahoo.com,yes
1541,USR001541,,18-24 ,Australia,N/A,21-07-2020,yahoo.com,yes
1542,USR001542,MALE,18-24 ,UK,N/A,06-02-2019,,NO
1543,USR001543,female,18-24 ,India,N/A,02-01-2022,yahoo.com,1
1544,USR001544,female,18-24 ,Germany,N/A,23-11-2019,hotmail.com,yes
1545,USR001545,O,45-54,Canada,City_10,31-12-2021,hotmail.com,
1546,USR001546,other,18-24 ,India,,09-01-2020,outlook.com,1
1547,USR001547,M, 25-34,France,  ,24-08-2020,gmail.com,NO
1548,USR001548,MALE, 25-34,Canada,City_32,21-03-2023,yahoo.com,0
1549,USR001549,male,25 to 34,France,City_48,01-09-2023,gmail.com,
1550,USR001550,M,18-24,UK,  ,10-04-2021,outlook.com,1
1551,USR001551,Female,18-24 ,USA,,23-09-2020,,yes
1552,USR001552,MALE,18-24 ,USA,  ,01-06-2022,gmail.com,
1553,USR001553,M,25-34,Australia,,08-08-2022,gmail.com,0
1554,USR001554,Other,18-24,India,,27-08-2023,gmail.com,0
1555,USR001555,M,,UK,N/A,02-09-2023,yahoo.com,0
1556,USR001556,other, 25-34,India,,18-06-2023,gmail.com,1
1557,USR001557,male,35-44,Brazil,,20-07-2023,outlook.com,Yes
1558,USR001558,M,18-24,USA,City_2,24-07-2023,,Yes
1559,USR001559,other,25 to 34,France,N/A,01-09-2019,hotmail.com,1
1560,USR001560,FEMALE,25-34,USA,  ,05-08-2022,hotmail.com,yes
1561,USR001561,FEMALE,18_24,Germany,N/A,06-05-2020,,Yes
1562,USR001562,Other,55+,Japan,,09-07-2021,,1
1563,USR001563,Other,45-54,Mexico,,13-06-2019,,
1564,USR001564,FEMALE,18-24 ,Mexico,N/A,10-05-2021,gmail.com,0
1565,USR001565,other,,France,,11-06-2023,yahoo.com,0
1566,USR001566,Other,25 to 34,Mexico,  ,29-10-2020,yahoo.com,yes
1567,USR001567,other,,France,  ,25-04-2019,,0
1568,USR001568,other,18_24,Mexico,,09-03-2022,outlook.com,1
1569,USR001569,Other, 25-34,Canada,City_46,24-07-2020,,
1570,USR001570,female,45-54,UK,City_22,04-10-2022,outlook.com,Yes
1571,USR001571,other,18-24,USA,,03-08-2022,gmail.com,NO
1572,USR001572,female,18-24 ,USA,N/A,10-12-2019,outlook.com,NO
1573,USR001573,M,18-24,Canada,N/A,21-09-2022,gmail.com,yes
1574,USR001574,FEMALE,18-24 ,India,  ,18-07-2023,yahoo.com,NO
1575,USR001575,male,18-24,France,City_36,22-05-2023,gmail.com,
1576,USR001576,FEMALE,18-24 ,France,,19-03-2020,gmail.com,NO
1577,USR001577,FEMALE,,Mexico,City_17,15-09-2022,gmail.com,1
1578,USR001578,other,45-54,Brazil,  ,05-08-2019,gmail.com,Yes
1579,USR001579,Female,25 to 34,France,N/A,04-02-2021,gmail.com,0
1580,USR001580,Female,,India,N/A,13-03-2022,gmail.com,
1581,USR001581,Other, 25-34,USA,  ,16-04-2021,gmail.com,0
1582,USR001582,Male,25 to 34,France,City_3,01-08-2022,gmail.com,0
1583,USR001583,female,25-34,Australia,City_17,27-04-2020,gmail.com,0
1584,USR001584,,18-24 ,Brazil,  ,18-08-2021,gmail.com,0
1585,USR001585,male, 25-34,Brazil,N/A,08-01-2022,outlook.com,Yes
1586,USR001586,Female,,France,  ,25-06-2019,gmail.com,0
1587,USR001587,FEMALE,25-34,UK,City_14,19-06-2023,outlook.com,0
1588,USR001588,FEMALE, 25-34,UK,N/A,01-04-2020,outlook.com,1
1589,USR001589,Male,55+,USA,  ,30-08-2019,gmail.com,0
1590,USR001590,Male,25 to 34,Canada,,31-08-2022,outlook.com,Yes
1591,USR001591,female,45-54,Japan,N/A,27-08-2023,,Yes
1592,USR001592,Female,35-44,France,N/A,05-06-2022,gmail.com,yes
1593,USR001593,male,18_24,France,N/A,09-05-2019,outlook.com,0
1594,USR001594,other,25 to 34,Germany,N/A,16-01-2021,hotmail.com,1
1595,USR001595,male,18_24,Mexico,,06-08-2019,,0
1596,USR001596,Other,18-24,Canada,,15-11-2021,yahoo.com,
1597,USR001597,Other,35-44,France,City_25,29-01-2023,gmail.com,0
1598,USR001598,,,Japan,,02-06-2019,hotmail.com,0
1599,USR001599,F,25-34,Canada,City_9,23-12-2022,outlook.com,NO
1600,USR001600,FEMALE,55+,India,City_6,09-05-2020,gmail.com,Yes
1601,USR001601,Other,18_24,France,,19-02-2021,outlook.com,1
1602,USR001602,,,UK,N/A,12-07-2023,gmail.com,1
1603,USR001603,O,35-44,India,  ,03-04-2022,gmail.com,Yes
1604,USR001604,Male,,India,  ,04-07-2023,gmail.com,1
1605,USR001605,FEMALE,25-34,Brazil,N/A,17-02-2019,gmail.com,
1606,USR001606,Other,,France,City_6,23-02-2019,gmail.com,1
1607,USR001607,other,18_24,India,City_14,18-07-2020,,1
1608,USR001608,MALE,45-54,Australia,  ,20-06-2021,gmail.com,1
1609,USR001609,female,45-54,Canada,  ,01-05-2022,hotmail.com,Yes
1610,USR001610,Other,45-54,Japan,  ,09-04-2019,gmail.com,NO
1611,USR001611,FEMALE,35-44,Canada,,14-09-2020,yahoo.com,0
1612,USR001612,,25-34,USA,,04-06-2021,gmail.com,0
1613,USR001613,M,25-34,UK,  ,11-02-2023,yahoo.com,Yes
1614,USR001614,Male, 25-34,Germany,City_20,17-09-2020,yahoo.com,1
1615,USR001615,FEMALE,18-24,Australia,City_38,30-07-2020,gmail.com,yes
1616,USR001616,male,35-44,Mexico,N/A,10-05-2022,gmail.com,1
1617,USR001617,female,18-24 ,USA,City_37,20-06-2020,gmail.com,NO
1618,USR001618,O, 25-34,Brazil,,03-05-2019,hotmail.com,NO
1619,USR001619,male,55+,Mexico,N/A,26-04-2023,hotmail.com,0
1620,USR001620,,45-54,Australia,,11-12-2020,outlook.com,NO
1621,USR001621,other,55+,USA,  ,29-10-2022,,0
1622,USR001622,M,,USA,N/A,08-07-2023,,0
1623,USR001623,Male,25-34,UK,,23-01-2022,gmail.com,1
1624,USR001624,MALE,35-44,France,City_41,13-05-2019,yahoo.com,1
1625,USR001625,O,18_24,Canada,  ,03-11-2020,outlook.com,NO
1626,USR001626,FEMALE,,Mexico,,21-07-2019,gmail.com,1
1627,USR001627,FEMALE,25-34,Brazil,N/A,23-05-2022,outlook.com,1
1628,USR001628,,18-24 ,UK,City_32,07-04-2023,gmail.com,yes
1629,USR001629,,45-54,Mexico,  ,01-04-2020,gmail.com,0
1630,USR001630,Other,25 to 34,Australia,N/A,16-06-2022,,
1631,USR001631,M,25 to 34,France,N/A,06-06-2020,,0
1632,USR001632,female,25-34,France,N/A,15-11-2019,yahoo.com,1
1633,USR001633,female,18-24 ,UK,,09-10-2021,,NO
1634,USR001634,Female, 25-34,Canada,,20-02-2022,gmail.com,0
1635,USR001635,F, 25-34,Australia,,02-03-2022,gmail.com,0
1636,USR001636,F,18_24,Mexico,,10-07-2019,yahoo.com,
1637,USR001637,female, 25-34,Canada,City_46,08-11-2023,yahoo.com,1
1638,USR001638,other,45-54,India,City_49,11-12-2022,gmail.com,0
1639,USR001639,Other,45-54,Brazil,,05-07-2022,gmail.com,0
1640,USR001640,Male,55+,India,,29-05-2019,outlook.com,
1641,USR001641,other,25-34,Mexico,,28-06-2022,gmail.com,0
1642,USR001642,other,55+,Japan,N/A,05-11-2022,gmail.com,
1643,USR001643,female,25-34,Germany,  ,25-11-2019,gmail.com,yes
1644,USR001644,male,25-34,USA,  ,07-06-2021,yahoo.com,Yes
1645,USR001645,female,25-34,Brazil,N/A,06-06-2023,gmail.com,1
1646,USR001646,male,18-24 ,USA,N/A,21-09-2023,hotmail.com,1
1647,USR001647,,25 to 34,Mexico,N/A,31-12-2021,yahoo.com,yes
1648,USR001648,other,45-54,Australia,City_33,06-05-2022,,yes
1649,USR001649,F,25-34,USA,N/A,22-04-2019,gmail.com,NO
1650,USR001650,Female,25 to 34,Japan,  ,13-02-2019,gmail.com,0
1651,USR001651,Female,18-24 ,Australia,,01-07-2022,gmail.com,NO
1652,USR001652,O,35-44,India,  ,22-10-2021,yahoo.com,1
1653,USR001653,other,18-24 ,Canada,  ,25-09-2023,gmail.com,yes
1654,USR001654,Other, 25-34,France,  ,22-05-2021,,0
1655,USR001655,M,25 to 34,Germany,N/A,20-10-2022,hotmail.com,NO
1656,USR001656,female,18-24,UK,,13-04-2019,yahoo.com,Yes
1657,USR001657,male,55+,Canada,,04-08-2022,,0
1658,USR001658,Other,18-24,Brazil,,15-05-2021,outlook.com,1
1659,USR001659,other,25 to 34,France,N/A,21-08-2023,gmail.com,yes
1660,USR001660,M,18_24,France,  ,06-12-2021,gmail.com,yes
1661,USR001661,female,45-54,Germany,  ,29-05-2019,hotmail.com,0
1662,USR001662,Female, 25-34,Japan,,02-09-2023,outlook.com,Yes
1663,USR001663,other, 25-34,Australia,N/A,19-08-2020,outlook.com,Yes
1664,USR001664,O,18-24 ,Japan,N/A,23-09-2020,gmail.com,1
1665,USR001665,other,18-24 ,USA,City_18,28-10-2023,yahoo.com,yes
1666,USR001666,F,35-44,Canada,City_44,15-06-2019,hotmail.com,NO
1667,USR001667,M,18_24,Mexico,  ,28-05-2021,yahoo.com,NO
1668,USR001668,Other,25 to 34,Australia,N/A,01-08-2022,hotmail.com,yes
1669,USR001669,O,25 to 34,UK,,23-05-2021,gmail.com,NO
1670,USR001670,male,45-54,Brazil,N/A,19-11-2023,gmail.com,0
1671,USR001671,Female,25-34,India,City_21,19-01-2023,gmail.com,1
1672,USR001672,, 25-34,Mexico,City_48,07-03-2021,hotmail.com,
1673,USR001673,F,18-24,Australia,N/A,16-07-2019,gmail.com,
1674,USR001674,other,18_24,Brazil,  ,30-07-2019,,
1675,USR001675,female,,Mexico,,03-09-2021,hotmail.com,1
1676,USR001676,M,18-24 ,Australia,N/A,04-04-2023,gmail.com,1
1677,USR001677,other,35-44,Australia,  ,13-08-2021,gmail.com,1
1678,USR001678,O,55+,France,  ,03-11-2022,gmail.com,yes
1679,USR001679,O,45-54,Germany,N/A,08-11-2019,yahoo.com,1
1680,USR001680,other,,Brazil,City_20,07-09-2023,yahoo.com,1
1681,USR001681,,,Mexico,N/A,01-06-2022,gmail.com,Yes
1682,USR001682,male,35-44,Australia,N/A,23-07-2020,gmail.com,1
1683,USR001683,other,25 to 34,India,City_16,01-12-2019,gmail.com,
1684,USR001684,other,55+,Brazil,,05-01-2019,yahoo.com,0
1685,USR001685,F,35-44,Canada,,18-04-2021,yahoo.com,NO
1686,USR001686,,18-24,France,City_4,08-11-2023,outlook.com,Yes
1687,USR001687,female,25 to 34,Brazil,,18-08-2021,gmail.com,0
1688,USR001688,Male,18-24 ,UK,City_3,13-04-2019,hotmail.com,1
1689,USR001689,female,55+,USA,  ,14-02-2022,hotmail.com,1
1690,USR001690,Female,18_24,Canada,N/A,03-03-2019,hotmail.com,Yes
1691,USR001691,M,25-34,India,,02-12-2020,hotmail.com,0
1692,USR001692,MALE,55+,UK,  ,25-02-2023,gmail.com,
1693,USR001693,female,25 to 34,France,,28-11-2021,,
1694,USR001694,FEMALE,,Japan,  ,04-03-2023,,
1695,USR001695,MALE,45-54,USA,,06-12-2020,,0
1696,USR001696,MALE,,Australia,,09-02-2022,yahoo.com,
1697,USR001697,M,55+,UK,N/A,11-11-2019,gmail.com,yes
1698,USR001698,M, 25-34,UK,City_27,27-07-2020,yahoo.com,1
1699,USR001699,male,18-24,Japan,  ,21-10-2022,hotmail.com,0
1700,USR001700,Female,18-24 ,Mexico,City_28,24-01-2019,outlook.com,0
1701,USR001701,male,35-44,Germany,City_6,06-06-2020,hotmail.com,0
1702,USR001702,,45-54,Australia,City_18,30-06-2022,yahoo.com,0
1703,USR001703,,45-54,Brazil,,19-08-2022,gmail.com,0
1704,USR001704,O,18-24,France,City_20,09-09-2021,gmail.com,0
1705,USR001705,,35-44,France,  ,19-09-2021,yahoo.com,1
1706,USR001706,Male,,UK,N/A,28-12-2022,yahoo.com,Yes
1707,USR001707,other, 25-34,India,,02-11-2022,outlook.com,1
1708,USR001708,female,55+,France,N/A,22-04-2022,outlook.com,
1709,USR001709,Other,35-44,Mexico,N/A,09-12-2022,,1
1710,USR001710,M,18-24,Germany,  ,22-10-2020,gmail.com,
1711,USR001711,Other,18_24,Brazil,  ,08-12-2022,outlook.com,0
1712,USR001712,F, 25-34,France,N/A,18-09-2021,,0
1713,USR001713,M,18-24 ,Australia,  ,28-12-2019,yahoo.com,0
1714,USR001714,M, 25-34,France,,06-08-2020,gmail.com,yes
1715,USR001715,M,,France,City_26,14-01-2019,,0
1716,USR001716,O,18-24 ,Germany,N/A,10-03-2019,outlook.com,0
1717,USR001717,Other, 25-34,Mexico,  ,17-04-2020,hotmail.com,0
1718,USR001718,M, 25-34,India,N/A,01-05-2019,outlook.com,0
1719,USR001719,O,25-34,Australia,,09-02-2020,hotmail.com,0
1720,USR001720,FEMALE,18_24,UK,,21-06-2019,yahoo.com,Yes
1721,USR001721,Male,55+,Brazil,  ,18-01-2021,gmail.com,NO
1722,USR001722,F,55+,Australia,,13-05-2019,,yes
1723,USR001723,female,45-54,Canada,  ,09-03-2023,yahoo.com,0
1724,USR001724,other,18_24,UK,City_40,30-05-2023,,
1725,USR001725,O, 25-34,France,,30-11-2021,gmail.com,NO
1726,USR001726,MALE,25-34,Canada,  ,07-11-2023,outlook.com,NO
1727,USR001727,FEMALE,35-44,Mexico,N/A,27-04-2021,gmail.com,0
1728,USR001728,Other,18-24 ,Mexico,,09-07-2019,,1
1729,USR001729,Female,25 to 34,USA,  ,05-07-2021,gmail.com,
1730,USR001730,O,18-24,Australia,City_48,12-12-2020,,1
1731,USR001731,FEMALE,55+,India,City_11,22-04-2022,gmail.com,Yes
1732,USR001732,MALE,,Mexico,  ,17-02-2022,,NO
1733,USR001733,,35-44,USA,,31-05-2022,outlook.com,NO
1734,USR001734,MALE,25 to 34,USA,,10-06-2021,gmail.com,Yes
1735,USR001735,Female,35-44,Brazil,N/A,31-12-2019,outlook.com,0
1736,USR001736,FEMALE,,USA,  ,03-05-2023,gmail.com,1
1737,USR001737,MALE,,Germany,,08-11-2019,gmail.com,
1738,USR001738,female,55+,USA,,06-11-2022,outlook.com,NO
1739,USR001739,other,35-44,Mexico,,27-09-2020,hotmail.com,Yes
1740,USR001740,Other,45-54,Germany,  ,04-06-2022,outlook.com,yes
1741,USR001741,FEMALE,45-54,Japan,  ,14-09-2020,yahoo.com,Yes
1742,USR001742,FEMALE,45-54,Mexico,N/A,21-07-2022,gmail.com,0
1743,USR001743,Female,18-24,UK,  ,16-08-2021,hotmail.com,yes
1744,USR001744,F,18-24 ,Germany,N/A,08-05-2021,hotmail.com,0
1745,USR001745,,25 to 34,Australia,N/A,24-06-2020,gmail.com,0
1746,USR001746,,25-34,USA,City_36,14-08-2022,yahoo.com,Yes
1747,USR001747,F,35-44,Germany,  ,25-07-2019,gmail.com,0
1748,USR001748,M, 25-34,Germany,City_6,03-06-2022,hotmail.com,0
1749,USR001749,MALE, 25-34,Canada,City_39,07-07-2020,gmail.com,0
1750,USR001750,Other,35-44,Australia,N/A,22-04-2022,,0
1751,USR001751,M,18-24,India,  ,23-09-2023,gmail.com,NO
1752,USR001752,Female,25-34,Japan,,10-12-2020,gmail.com,0
1753,USR001753,Male,18-24 ,UK,  ,05-11-2023,yahoo.com,yes
1754,USR001754,other,,Germany,City_20,02-11-2021,outlook.com,yes
1755,USR001755,FEMALE,35-44,India,,09-03-2020,hotmail.com,0
1756,USR001756,female,18-24,Brazil,,06-01-2020,outlook.com,Yes
1757,USR001757,,25-34,Japan,City_44,13-01-2021,gmail.com,1
1758,USR001758,male,18_24,France,  ,04-06-2019,,yes
1759,USR001759,O,18-24 ,France,,11-05-2022,outlook.com,1
1760,USR001760,,25 to 34,USA,,18-03-2022,,
1761,USR001761,male, 25-34,Australia,  ,19-03-2019,hotmail.com,
1762,USR001762,Female,35-44,Japan,N/A,19-06-2019,outlook.com,1
1763,USR001763,male, 25-34,India,N/A,21-01-2019,hotmail.com,1
1764,USR001764,M,45-54,UK,N/A,07-10-2019,hotmail.com,yes
1765,USR001765,Female,18-24,Japan,N/A,30-10-2023,hotmail.com,NO
1766,USR001766,FEMALE,25-34,Brazil,  ,30-10-2023,,0
1767,USR001767,,45-54,Brazil,City_38,17-07-2023,outlook.com,
1768,USR001768,M, 25-34,Canada,City_31,06-04-2021,gmail.com,0
1769,USR001769,F,,UK,  ,20-04-2020,outlook.com,NO
1770,USR001770,male,55+,Brazil,  ,10-03-2020,gmail.com,NO
1771,USR001771,MALE,25 to 34,USA,,21-06-2020,hotmail.com,NO
1772,USR001772,FEMALE,35-44,Mexico,  ,29-06-2022,hotmail.com,Yes
1773,USR001773,female, 25-34,USA,N/A,07-09-2023,gmail.com,
1774,USR001774,Male,25-34,Australia,N/A,02-10-2019,gmail.com,1
1775,USR001775,F,,Japan,N/A,24-10-2019,outlook.com,0
1776,USR001776,Male, 25-34,India,  ,26-06-2021,gmail.com,1
1777,USR001777,F,55+,Germany,,20-03-2023,,NO
1778,USR001778,,,Brazil,City_10,22-09-2021,hotmail.com,NO
1779,USR001779,female,18-24 ,Brazil,  ,29-11-2022,gmail.com,NO
1780,USR001780,MALE,18-24,India,City_50,06-04-2023,outlook.com,0
1781,USR001781,F,25-34,Mexico,N/A,27-08-2021,gmail.com,
1782,USR001782,male,25-34,Australia,,23-04-2019,gmail.com,0
1783,USR001783,female,25-34,Australia,City_20,24-12-2021,hotmail.com,yes
1784,USR001784,MALE,25-34,USA,,01-11-2020,hotmail.com,NO
1785,USR001785,Male,,Canada,N/A,28-03-2022,,0
1786,USR001786,female,18_24,Canada,City_30,18-09-2020,gmail.com,NO
1787,USR001787,male,45-54,USA,City_4,08-10-2023,gmail.com,1
1788,USR001788,O,18-24,France,City_8,22-10-2022,,Yes
1789,USR001789,other,25 to 34,UK,  ,05-12-2019,hotmail.com,0
1790,USR001790,female,25 to 34,Brazil,N/A,15-05-2021,outlook.com,0
1791,USR001791,M,25 to 34,Mexico,  ,02-11-2021,gmail.com,0
1792,USR001792,M,,France,  ,19-12-2019,outlook.com,
1793,USR001793,Male,55+,Mexico,City_16,25-04-2020,gmail.com,
1794,USR001794,Female,25-34,France,  ,17-06-2022,gmail.com,1
1795,USR001795,FEMALE,25 to 34,India,N/A,11-09-2022,outlook.com,1
1796,USR001796,O,35-44,France,,03-03-2023,,yes
1797,USR001797,M, 25-34,France,  ,08-01-2021,gmail.com,Yes
1798,USR001798,O,,India,  ,27-02-2023,gmail.com,
1799,USR001799,FEMALE, 25-34,Australia,  ,29-01-2021,outlook.com,1
1800,USR001800,FEMALE,55+,Canada,,24-06-2020,,1
1801,USR001801,Other,25 to 34,France,  ,11-02-2020,yahoo.com,0
1802,USR001802,Male,35-44,UK,N/A,22-11-2022,gmail.com,0
1803,USR001803,male,25-34,USA,City_20,23-07-2020,gmail.com,1
1804,USR001804,Male,18-24 ,Brazil,  ,08-06-2020,outlook.com,1
1805,USR001805,Female,25-34,USA,  ,07-01-2022,hotmail.com,0
1806,USR001806,MALE,18_24,Canada,,02-06-2023,,1
1807,USR001807,M,35-44,Brazil,  ,08-01-2020,hotmail.com,0
1808,USR001808,, 25-34,Australia,,07-07-2019,gmail.com,0
1809,USR001809,O,18-24,France,  ,08-05-2020,outlook.com,NO
1810,USR001810,Other, 25-34,USA,  ,06-12-2021,gmail.com,
1811,USR001811,,18_24,Germany,City_36,21-07-2022,yahoo.com,1
1812,USR001812,F,18_24,Japan,  ,09-01-2019,hotmail.com,NO
1813,USR001813,male,18_24,Mexico,  ,29-08-2019,outlook.com,yes
1814,USR001814,Female,,UK,  ,05-09-2019,hotmail.com,yes
1815,USR001815,MALE,25-34,Australia,City_33,03-10-2020,,Yes
1816,USR001816,Female,18_24,Australia,N/A,20-08-2022,hotmail.com,0
1817,USR001817,male,25 to 34,Brazil,City_26,23-10-2023,,NO
1818,USR001818,Male,18_24,France,  ,25-11-2020,outlook.com,
1819,USR001819,MALE,25-34,Australia,City_41,04-09-2021,gmail.com,Yes
1820,USR001820,F,45-54,Mexico,,10-04-2021,gmail.com,0
1821,USR001821,other,25-34,France,,17-05-2022,gmail.com,1
1822,USR001822,Other,35-44,Mexico,,20-07-2020,,yes
1823,USR001823,FEMALE,25 to 34,Germany,  ,14-05-2023,gmail.com,1
1824,USR001824,male,35-44,Mexico,City_29,24-07-2019,gmail.com,0
1825,USR001825,male,18-24,Australia,City_20,08-10-2022,gmail.com,Yes
1826,USR001826,FEMALE,18_24,Mexico,City_30,29-01-2021,outlook.com,0
1827,USR001827,Other,,France,N/A,17-11-2023,gmail.com,0
1828,USR001828,,18-24 ,Canada,N/A,30-07-2019,hotmail.com,0
1829,USR001829,Male,25-34,Brazil,City_41,07-03-2020,hotmail.com,
1830,USR001830,other,18-24,France,N/A,29-06-2022,gmail.com,0
1831,USR001831,,35-44,Australia,N/A,22-01-2022,gmail.com,yes
1832,USR001832,Other,25 to 34,Mexico,,12-04-2023,gmail.com,
1833,USR001833,MALE,45-54,Brazil,City_19,12-01-2021,gmail.com,0
1834,USR001834,O,35-44,USA,  ,24-01-2021,hotmail.com,0
1835,USR001835,M,25-34,Japan,  ,09-07-2023,yahoo.com,NO
1836,USR001836,Female,18_24,Japan,  ,23-05-2020,,0
1837,USR001837,F,55+,Mexico,,18-11-2019,gmail.com,
1838,USR001838,Male,18-24,Brazil,  ,24-02-2020,gmail.com,yes
1839,USR001839,Other,25-34,Japan,N/A,21-08-2021,gmail.com,0
1840,USR001840,female,25-34,India,City_3,10-01-2021,gmail.com,0
1841,USR001841,MALE,18_24,USA,City_30,29-01-2019,yahoo.com,Yes
1842,USR001842,Other,55+,USA,N/A,29-10-2021,,0
1843,USR001843,F,18-24 ,Mexico,City_7,02-04-2023,outlook.com,0
1844,USR001844,M,18_24,UK,N/A,17-03-2020,gmail.com,1
1845,USR001845,other,35-44,Mexico,City_23,02-06-2022,gmail.com,1
1846,USR001846,other, 25-34,UK,City_43,10-10-2021,outlook.com,1
1847,USR001847,male,18-24,India,City_49,11-05-2020,gmail.com,0
1848,USR001848,,45-54,Canada,City_29,29-08-2019,hotmail.com,yes
1849,USR001849,female,55+,Japan,N/A,05-08-2021,yahoo.com,1
1850,USR001850,male,18-24,Germany,  ,16-10-2020,gmail.com,NO
1851,USR001851,,18_24,Australia,City_37,08-12-2019,hotmail.com,1
1852,USR001852,,55+,India,N/A,29-07-2023,outlook.com,NO
1853,USR001853,,18_24,Japan,,16-10-2020,gmail.com,0
1854,USR001854,,,USA,  ,03-11-2019,gmail.com,NO
1855,USR001855,,35-44,USA,City_21,27-10-2022,gmail.com,yes
1856,USR001856,Male,25 to 34,Canada,,09-01-2023,gmail.com,
1857,USR001857,F,,USA,  ,27-03-2020,gmail.com,yes
1858,USR001858,FEMALE,18-24 ,Australia,,29-10-2019,yahoo.com,1
1859,USR001859,Male,18_24,India,N/A,24-07-2020,gmail.com,0
1860,USR001860,other,18-24 ,Germany,N/A,25-04-2020,gmail.com,1
1861,USR001861,F,25 to 34,Mexico,,29-05-2020,,yes
1862,USR001862,female,18_24,France,,01-12-2022,yahoo.com,0
1863,USR001863,Female,18_24,France,N/A,24-10-2019,yahoo.com,yes
1864,USR001864,O,45-54,Australia,  ,16-07-2019,outlook.com,1
1865,USR001865,Male,25-34,Germany,  ,21-02-2023,yahoo.com,yes
1866,USR001866,female,18-24,Australia,N/A,23-02-2020,gmail.com,0
1867,USR001867,male,45-54,Japan,N/A,11-03-2022,yahoo.com,1
